"sp.code","Budburst","Leaves","Risk","tx","code"
"ACERUB_WL2",83,96,13,"WL2","ACERUB_WL2"
"POPGRA_WL2",91,100.5,9.5,"WL2","POPGRA_WL2"
"QUERUB_WL2",96,105,9,"WL2","QUERUB_WL2"
"ACERUB_CS2",86,113,27,"CS2","ACERUB_CS2"
"ILEMUC_CS2",82,113,31,"CS2","ILEMUC_CS2"
"QUERUB_CS2",99,121,22,"CS2","QUERUB_CS2"
"BETPAP_WL1",82,100,18,"WL1","BETPAP_WL1"
"ILEMUC_WL1",77,82,5,"WL1","ILEMUC_WL1"
"POPGRA_WL1",93,107,14,"WL1","POPGRA_WL1"
"ACERUB_WL0",62,78,16,"WL0","ACERUB_WL0"
"BETPAP_WL0",49,62,13,"WL0","BETPAP_WL0"
"POPGRA_WL0",75,83,8,"WL0","POPGRA_WL0"
"QUERUB_WL0",69,80.5,11.5,"WL0","QUERUB_WL0"
"ACERUB_CS1",92,121,29,"CS1","ACERUB_CS1"
"BETPAP_CS1",78,99,21,"CS1","BETPAP_CS1"
"ILEMUC_CS1",83,106,23,"CS1","ILEMUC_CS1"
"POPGRA_CS1",85,113,28,"CS1","POPGRA_CS1"
"QUERUB_CS1",92,113,21,"CS1","QUERUB_CS1"
