"sp","term","df","sumsq","meansq","statistic","p.value"
"ACEPEN","chilling",1,46.5125,46.5125,2.58402777777778,0.354280256363104
"ACEPEN","force",1,20.0208333333332,20.0208333333332,1.11226851851851,0.483073635657376
"ACEPEN","photoperiod",1,192.666666666667,192.666666666667,10.7037037037037,0.188845422857524
"ACEPEN","Residuals",1,18,18,NA,NA
"ACERUB","chilling",1,0.127100840336132,0.127100840336132,0.00341382225672215,0.953960192676669
"ACERUB","force",1,241.894360496491,241.894360496491,6.49708018809802,0.0186868226353579
"ACERUB","photoperiod",1,469.005400690032,469.005400690032,12.5970927585076,0.00189834153356855
"ACERUB","chilling:force",1,93.1253659325948,93.1253659325948,2.50126943335174,0.128699780685474
"ACERUB","chilling:photoperiod",1,35.9141629051599,35.9141629051599,0.964624374889568,0.337205312699369
"ACERUB","force:photoperiod",1,168.506112397837,168.506112397837,4.52593323046606,0.0453975701612761
"ACERUB","Residuals",21,781.856068166119,37.2312413412438,NA,NA
"ACESAC","chilling",1,0.500000000000001,0.500000000000001,NA,NA
"ALNINC","force",1,2.25,2.25,0.500000000000003,0.608173447969392
"ALNINC","photoperiod",1,50,50,11.1111111111112,0.185547158155484
"ALNINC","Residuals",1,4.49999999999998,4.49999999999998,NA,NA
"BETALL","chilling",1,22.6153846153845,22.6153846153845,0.466296590007928,0.565181044438315
"BETALL","force",1,203.687246963563,203.687246963563,4.19973705079511,0.176953419763844
"BETALL","photoperiod",1,213.411654135339,213.411654135339,4.40024029145028,0.170836727453232
"BETALL","chilling:force",1,67.5000000000005,67.5000000000005,1.3917525773196,0.359426548704553
"BETALL","chilling:photoperiod",1,157.785714285713,157.785714285713,3.25331369661264,0.213051515652327
"BETALL","Residuals",2,97.0000000000001,48.5,NA,NA
"BETPAP","chilling",1,168.2,168.2,2.81942255812744e+31,1.19894714502657e-16
"BETPAP","force",1,225,225,3.77152244696002e+31,1.03662522951403e-16
"BETPAP","photoperiod",1,2,2,3.3524643972978e+29,1.09950709400765e-15
"BETPAP","Residuals",1,5.9657605957339e-30,5.9657605957339e-30,NA,NA
"CORCOR","force",1,170.666666666667,170.666666666667,8.27140549273023,0.0347498597238558
"CORCOR","photoperiod",1,28.1666666666666,28.1666666666666,1.36510500807755,0.295327210294687
"CORCOR","Residuals",5,103.166666666666,20.6333333333333,NA,NA
"FRANIG","force",1,279.075,279.075,23.6671378091874,0.00825009204421723
"FRANIG","photoperiod",1,39.6214285714285,39.6214285714285,3.36012115093389,0.140726351212137
"FRANIG","force:photoperiod",1,22.0119047619049,22.0119047619049,1.86673397274106,0.243618172215224
"FRANIG","Residuals",4,47.1666666666664,11.7916666666666,NA,NA
"ILEMUC","chilling",1,7.71012145748989,7.71012145748989,0.137107923216922,0.715268830661631
"ILEMUC","force",1,65.4889133480088,65.4889133480088,1.16457943657371,0.29402756828949
"ILEMUC","photoperiod",1,16.6484926670287,16.6484926670287,0.296057625921189,0.592693118633444
"ILEMUC","chilling:force",1,17.418538739741,17.418538739741,0.309751238712252,0.584329244741366
"ILEMUC","chilling:photoperiod",1,40.1669627194676,40.1669627194676,0.714283020152406,0.408542767906332
"ILEMUC","force:photoperiod",1,338.737117398345,338.737117398345,6.02371090248611,0.0239309721241987
"ILEMUC","Residuals",19,1068.4452382853,56.2339599097528,NA,NA
"POPGRA","chilling",1,152.910052910053,152.910052910053,5.80616456117565,0.0225427732942281
"POPGRA","force",1,32.0924385924388,32.0924385924388,1.2185855415715,0.278714262741191
"POPGRA","photoperiod",1,280.018306934136,280.018306934136,10.6326061580644,0.00283989070307222
"POPGRA","chilling:force",1,17.8126487109041,17.8126487109041,0.67636605780759,0.417552044964504
"POPGRA","chilling:photoperiod",1,0.108901415740811,0.108901415740811,0.00413510772315339,0.949168752325688
"POPGRA","force:photoperiod",1,3.20801936753262,3.20801936753262,0.121812058846711,0.72959890024907
"POPGRA","Residuals",29,763.738520958083,26.3358110675201,NA,NA
"PRUPEN","force",1,7.99999999999999,7.99999999999999,NA,NA
"QUERUB","chilling",1,3.06302521008404,3.06302521008404,0.0758790005981519,0.785225771767226
"QUERUB","force",1,0.364728334081681,0.364728334081681,0.00903525749276725,0.925029762688096
"QUERUB","photoperiod",1,317.503851980862,317.503851980862,7.86538579410201,0.00960708055733309
"QUERUB","chilling:force",1,82.9835191993723,82.9835191993723,2.05571488025498,0.164025957909089
"QUERUB","chilling:photoperiod",1,2.45311942127199,2.45311942127199,0.060770067912346,0.807295866656674
"QUERUB","force:photoperiod",1,11.9509594751229,11.9509594751229,0.296055957416185,0.591185856117001
"QUERUB","Residuals",25,1009.18079637921,40.3672318551682,NA,NA
"VACMYR","force",1,520.833333333334,520.833333333334,2.33252472476208,0.201409025127333
"VACMYR","photoperiod",1,100.059523809524,100.059523809524,0.448111321408577,0.53988963871043
"VACMYR","force:photoperiod",1,657.440476190472,657.440476190472,2.94431263828537,0.161322416206016
"VACMYR","Residuals",4,893.166666666669,223.291666666667,NA,NA
